 Transaction ID ,Date of Sale, Client Name  ,Product Group, Item Desc , Qty Sold , Total Sales Value ,Sales Territory 
TXN-559540,05.03.2024,INITECH AG,Consulting,Product-394,118,16335.79,APAC
TXN-372286,24/05/2024,GLOBEX GMBH,Software,Product-946,824,12130.92,APAC
TXN-691224,2023.06.16,UMBRELLA CORP,Support,Product-659,174,8956.61,LATAM
TXN-480800,20.02.2024,Stark Industries,Hardware,Product-250,437,32222.86,APAC
TXN-430037,07/11/2023,Massive Dynamic,Training,Product-538,990,"$22,765.44",NA
TXN-207385,16/11/2023,Globex GmbH,Training,Product-883,7,34915.04,LATAM
TXN-416270,2023.12.25,Soylent Corp,Consulting,Product-926,587,"$49,700.63",EMEA
TXN-380327,06/09/2023,Globex GmbH,Software,Product-765,685,"$42,523.89",NA
TXN-359744,02/27/2023,Cyberdyne Systems,Support,Product-586,306,"$48,318.54",NA
TXN-654602,10/03/2024,CYBERDYNE SYSTEMS,Consulting,Product-321,847,"$28,924.18",APAC
TXN-909063,TBD,Stark Industries,Cloud Infrastructure,Product-395,272,39334.34,EMEA
TXN-242342,15/08/2024,Stark Industries,Training,Product-160,414,"31.351,90 €",Global
TXN-249093,TBD,Initech AG,Consulting,Product-912,884,"36.684,01 €",Global
TXN-922955,10.07.2023,Wayne Enterprises,Hardware,Product-761,469,"30.469,81 €",APAC
TXN-175152,2023-05-26,Initech AG,Hardware,Product-609,-410,"-338,23 €",
TXN-499664,2023.05.06,Initech AG,Hardware,Product-164,-609,"42.679,94 €",APAC
TXN-255441,2024.03.06,INITECH AG,Hardware,Product-425,43,8523.35,EMEA
TXN-255441,2024.03.06,INITECH AG,Hardware,Product-425,43,8523.35,EMEA
TXN-873472,24/06/2023,INITECH AG,,Product-648,689,"20.293,29 €",APAC
TXN-661670,21.01.2024,Globex GmbH,Hardware,Product-121,86,"34.271,28 €",NA
TXN-546017,19.10.2024,acme corp,Hardware,Product-689,15,"10.043,30 €",LATAM
TXN-382336,19.11.2024,Stark Industries,Hardware,Product-385,836,"$23,469.26",LATAM
TXN-598722,2023-03-12,Stark Industries,Cloud Infrastructure,Product-906,351,35049.97,Global
TXN-103227,20.11.2023,Oscorp,Software,Product-969,-871,"33.784,22 €",LATAM
TXN-132325,24.08.2024,Oscorp,Support,Product-168,582,45965.59,APAC
TXN-507497,30/10/2024,Wayne Enterprises,Software,Product-685,676,"$46,931.39",APAC
TXN-554194,2023.09.20,Soylent Corp,,Product-389,579,22049.53,APAC
TXN-891080,2024.05.07,Globex GmbH,Consulting,Product-776,364,37815.78,NA
TXN-272702,13/05/2023,Initech ag,Support,Product-805,954,"$24,077.03",LATAM
TXN-499016,18/03/2024,Stark Industries,Licensing,Product-207,746,"3.273,52 €",LATAM
TXN-356287,2024-02-05,Umbrella Corp,Consulting,Product-674,-657,"41.240,90 €",NA
TXN-325621,2023.11.06,Initech AG,Training,Product-356,104,25084.61,LATAM
TXN-749012,24/09/2023,Cyberdyne Systems,Hardware,Product-942,127,"38.592,81 €",NA
TXN-203204,11/28/2024,Cyberdyne Systems,,Product-525,750,-31010.28,APAC
TXN-584966,05/11/2024,Umbrella Corp,Software,Product-493,219,40744.28,EMEA
TXN-680600,01/15/2023,Soylent Corp,Consulting,Product-994,495,4623.67,Global
TXN-720049,07/18/2023,Oscorp,Cloud Infrastructure,Product-711,657,"32.045,58 €",EMEA
TXN-670200,13/11/2023,Umbrella Corp,Software,Product-751,158,"$16,524.16",NA
TXN-450888,28.05.2024,Oscorp,Consulting,Product-342,666,"42.019,53 €",Global
TXN-427829,23.07.2024,CYBERDYNE SYSTEMS,Cloud Infrastructure,Product-808,509,33508.49,NA
TXN-472525,12/08/2024,Cyberdyne Systems,Hardware,Product-251,275,41442.98,LATAM
TXN-881787,11/29/2024,Soylent Corp,Consulting,Product-772,175,25158.68,EMEA
TXN-946417,01/11/2023,Wayne Enterprises,Consulting,Product-900,516,47584.67,Global
TXN-946417,01/11/2023,Wayne Enterprises,Consulting,Product-900,516,47584.67,Global
TXN-543584,24.12.2023,oscorp,Training,Product-825,728,"16.903,46 €",NA
TXN-773907,2024.10.09,Oscorp,Support,Product-674,953,"$10,399.13",Global
TXN-508584,10/13/2023,Massive Dynamic,Software,Product-396,373,24997.12,NA
TXN-462882,,Oscorp,Licensing,Product-344,,"$30,383.21",NA
TXN-125148,2024.01.11,Oscorp,Hardware,Product-782,343,"$2,188.32",
TXN-700009,,Oscorp,Licensing,Product-884,342,26858.98,Global
TXN-166999,TBD,Massive Dynamic,Cloud Infrastructure,Product-648,50,23835.66,Global
TXN-254926,2023.06.27,globex gmbh,Consulting,Product-947,762,,APAC
TXN-664161,07/09/2023,Wayne Enterprises,Training,Product-369,313,"$47,501.92",Global
TXN-276020,01.01.2024,Cyberdyne Systems,Hardware,Product-202,669,"$32,473.75",APAC
TXN-480835,2023-03-13,stark industries,Cloud Infrastructure,Product-550,-745,"$45,973.50",LATAM
TXN-766594,23/06/2023,Soylent Corp,Cloud Infrastructure,Product-194,94,,Global
TXN-295300,08/27/2023,Umbrella Corp,Consulting,Product-152,586,-27640.33,APAC
TXN-361391,2023-02-09,Wayne Enterprises,Software,Product-789,903,37220.47,
TXN-514940,02/05/2024,Initech AG,Licensing,Product-421,177,-49773.52,LATAM
TXN-351401,TBD,Soylent Corp,Hardware,Product-495,719,3470.25,APAC
TXN-539130,06/27/2024,Acme Corp,,Product-373,867,"47.924,47 €",LATAM
TXN-164614,15/06/2024,Oscorp,Consulting,Product-840,137,"$10,833.92",APAC
TXN-596960,18.11.2024,Initech AG,Training,Product-920,917,"$26,702.25",EMEA
TXN-536171,21/05/2024,Stark Industries,Hardware,Product-868,531,"$2,278.06",NA
TXN-221171,04/01/2023,Oscorp,Cloud Infrastructure,Product-994,424,"$8,131.93",NA
TXN-902745,2024-04-17,Stark Industries,Hardware,Product-851,715,35638.94,
TXN-709571,17/06/2023,Initech AG,,Product-414,468,23154.42,NA
TXN-945397,13.02.2023,Massive Dynamic,Licensing,Product-579,-307,"8.197,19 €",NA
TXN-512559,2024-10-05,Initech AG,Support,Product-662,745,,
TXN-365645,2024.06.08,Wayne Enterprises,Cloud Infrastructure,Product-327,873,"11.238,29 €",Global
TXN-662023,2024.06.29,Wayne Enterprises,Training,Product-197,616,29001.90,NA
TXN-386157,11/30/2023,Soylent Corp,,Product-170,55,5883.33,APAC
TXN-852044,2024-04-12,Acme Corp,Training,Product-717,-521,"$-37,828.07",NA
TXN-682354,12.05.2023,MASSIVE DYNAMIC,,Product-184,863,"$6,342.08",EMEA
