order_id,order_date,customer_name,region,product,category,quantity,unit_price,revenue,cost,ship_date,status
1001,2025-01-15,Müller GmbH,NRW,Widget Pro,Electronics,25,49.99,1249.75,625.00,2025-01-18,Delivered
1002,15/01/2025,Schmidt AG,Bavaria,Gadget X,Electronics,10,89.99,899.90,400.00,2025-01-20,Delivered
1003,2025-01-16,  Fischer Corp  ,NRW,Widget Pro,Electronics,30,49.99,1499.70,750.00,2025-01-19,Delivered
1004,Jan 17 2025,Weber Industries,Hamburg,Sensor Unit,Industrial,50,24.50,1225.00,612.50,2025-01-22,Delivered
1005,2025-01-17,Müller GmbH,NRW,Cable Kit,Accessories,100,12.99,1299.00,520.00,2025-01-20,Delivered
1006,2025-01-18,Koch Solutions,Berlin,Widget Pro,Electronics,15,49.99,749.85,375.00,,Pending
1007,19-01-2025,Bauer Tech,NRW,Gadget X,Electronics,20,89.99,1799.80,800.00,2025-01-23,Delivered
1008,2025-01-19,Wagner Ltd,Bavaria,Sensor Unit,Industrial,35,24.50,857.50,440.00,2025-01-24,Delivered
1009,2025-01-20,,NRW,Cable Kit,Accessories,200,12.99,2598.00,1040.00,2025-01-25,Delivered
1010,2025-01-20,Schmidt AG,Bavaria,Widget Pro,Electronics,10,49.99,499.90,250.00,2025-01-24,Delivered
1011,2025-01-21,Hoffmann KG,Hamburg,Gadget X,Electronics,5,89.99,449.95,200.00,2025-01-26,Shipped
1012,2025-01-21,Müller GmbH,NRW,Sensor Unit,Industrial,75,24.50,1837.50,918.75,2025-01-27,Delivered
1013,2025-01-22,Fischer Corp,NRW,Widget Pro,Electronics,40,49.99,1999.60,1000.00,2025-01-28,Delivered
1014,2025-01-22,Koch Solutions,Berlin,Cable Kit,Accessories,150,12.99,1948.50,780.00,2025-01-28,Delivered
1015,2025/01/23,Bauer Tech,NRW,Gadget X,electronics,8,89.99,719.92,320.00,2025-01-28,Delivered
1001,2025-01-15,Müller GmbH,NRW,Widget Pro,Electronics,25,49.99,1249.75,625.00,2025-01-18,Delivered
1016,2025-01-23,Weber Industries,Hamburg,Widget Pro,Electronics,20,49.99,999.80,500.00,2025-01-29,Pending
1017,2025-01-24,Schneider Fabrik,NRW,Sensor Unit,INDUSTRIAL,60,24.50,1470.00,735.00,2025-01-30,Delivered
1018,2025-01-24,Wagner Ltd,Bavaria,Cable Kit,Accessories,80,12.99,1039.20,416.00,2025-01-30,Delivered
1019,2025-01-25,Hoffmann KG,Hamburg,Gadget X,Electronics,12,89.99,1079.88,480.00,2025-02-01,Delivered
1020,2025-01-25,Schmidt AG,BAVARIA,Widget Pro,Electronics,-5,49.99,-249.95,0.00,2025-01-25,Returned
1021,2025-01-26,Koch Solutions,Berlin,Sensor Unit,Industrial,45,24.50,1102.50,551.25,2025-02-02,Delivered
1022,2025-01-26,Fischer Corp,nrw,Gadget X,Electronics,18,89.99,1619.82,720.00,2025-02-02,Shipped
1023,2025-01-27,Müller GmbH,NRW,Cable Kit,Accessories,300,12.99,3897.00,1560.00,2025-02-03,Delivered
1024,2025-01-27,Bauer Tech,NRW,Widget Pro,Electronics,22,49.99,1099.78,550.00,2025-02-03,Delivered
1025,2025-01-28,Weber Industries,Hamburg,Sensor Unit,Industrial,40,24.50,980.00,490.00,,Pending
1026,2025-01-28,Schneider Fabrik,NRW,Gadget X,Electronics,30,89.99,2699.70,1200.00,2025-02-04,Delivered
1027,2025-01-29,Wagner Ltd,Bavaria,Widget Pro,Electronics,15,49.99,749.85,375.00,2025-02-05,Delivered
1028,2025-01-29,Hoffmann KG,Hamburg,Cable Kit,Accessories,120,12.99,1558.80,624.00,2025-02-05,Delivered
1029,2025-01-30,Koch Solutions,Berlin,Sensor Unit,Industrial,55,24.50,1347.50,673.75,2025-02-06,Delivered
1030,2025-01-30,Schmidt AG,Bavaria,Gadget X,Electronics,7,89.99,629.93,280.00,2025-02-06,Delivered
